!gaf-version: 2.2
!date-generated:2023-03-28
!generated-by: AgBase

Database	DB_Object_ID	DB_Object_Symbol	Qualifier	GO_ID	DB_Reference	Evidence_Code	With_From	Aspect	DB_Object_Name	DB_Object_Synonyms	DB_Object_Type	Taxon	Date	Assigned_By	Annotation_Extension	Gene_Product_Form_Id
Refseq	XP_018218747.1	XP_018218747.1	enables	GO:0016491	GO_REF:0000002	IEA	InterPro:IPR013121|InterPro:IPR013112	F	XP_018218747.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218747.1	XP_018218747.1	involved_in	GO:0055114	GO_REF:0000002	IEA	InterPro:IPR013112|InterPro:IPR013121	P	XP_018218747.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218749.1	XP_018218749.1	involved_in	GO:0009277	GO_REF:0000002	IEA	InterPro:IPR035323	C	XP_018218749.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218749.1	XP_018218749.1	involved_in	GO:0015891	GO_REF:0000002	IEA	InterPro:IPR035323	P	XP_018218749.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218750.1	XP_018218750.1	enables	GO:0003824	GO_REF:0000002	IEA	InterPro:IPR004113	F	XP_018218750.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218750.1	XP_018218750.1	enables	GO:0016491	GO_REF:0000002	IEA	InterPro:IPR006094	F	XP_018218750.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218750.1	XP_018218750.1	enables	GO:0050660	GO_REF:0000002	IEA	InterPro:IPR006094|InterPro:IPR004113	F	XP_018218750.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218750.1	XP_018218750.1	involved_in	GO:0055114	GO_REF:0000002	IEA	InterPro:IPR006094	P	XP_018218750.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218751.1	XP_018218751.1	enables	GO:0004359	GO_REF:0000002	IEA	InterPro:IPR002161	F	XP_018218751.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218751.1	XP_018218751.1	involved_in	GO:0042819	GO_REF:0000002	IEA	InterPro:IPR002161	P	XP_018218751.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218751.1	XP_018218751.1	involved_in	GO:0042823	GO_REF:0000002	IEA	InterPro:IPR002161	P	XP_018218751.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218767.1	XP_018218767.1	enables	GO:0022857	GO_REF:0000002	IEA	InterPro:IPR005828	F	XP_018218767.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218767.1	XP_018218767.1	involved_in	GO:0016021	GO_REF:0000002	IEA	InterPro:IPR005828	C	XP_018218767.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218767.1	XP_018218767.1	involved_in	GO:0055085	GO_REF:0000002	IEA	InterPro:IPR005828	P	XP_018218767.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218768.1	XP_018218768.1	enables	GO:0000981	GO_REF:0000002	IEA	InterPro:IPR001138	F	XP_018218768.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218768.1	XP_018218768.1	enables	GO:0008270	GO_REF:0000002	IEA	InterPro:IPR001138	F	XP_018218768.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218768.1	XP_018218768.1	enables	GO:0042025	GO_REF:0000002	IEA	InterPro:IPR001138	C	XP_018218768.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218768.1	XP_018218768.1	involved_in	GO:0006355	GO_REF:0000002	IEA	InterPro:IPR001138	P	XP_018218768.1		protein	taxon:1080349	20230328	AgBase		
Refseq	XP_018218770.1	XP_018218770.1	enables	GO:0016407	GO_REF:0000002	IEA	InterPro:IPR024688	F	XP_018218770.1		protein	taxon:1080349	20230328	AgBase		
